_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
227579,227606,EY18738,101,CARLAW AVE,LN 1 S EASTERN W CARLAW,EASTERN AVE,,0,130,,14,Acer platanoides,"Maple, Norway",0,"{""type"": ""Point"", ""coordinates"": [-79.3385600347958, 43.6579658160543]}"
227707,227734,EY16422,284,FLOYD AVE,DEWHURST BLVD N,LN W DONLANDS N FLOYD,,0,10,,14,Picea pungens,"Spruce, Colorado blue",35,"{""type"": ""Point"", ""coordinates"": [-79.3419707531881, 43.6888603779563]}"
227907,227934,EY8281,201,WESTVIEW BLVD,YARDLEY AVE,GALBRAITH AVE,,0,10,,19,Gleditsia triacanthos 'Sunburst',Honey locust Sunburst,80,"{""type"": ""Point"", ""coordinates"": [-79.3058789088707, 43.7122169141369]}"
228039,228066,EY21163,15,AIRLEY CRES,O'CONNOR DR,FOUR OAKS GT,,0,10,,14,Tilia cordata,"Linden, littleleaf",25,"{""type"": ""Point"", ""coordinates"": [-79.3362899584214, 43.6972265103159]}"
228048,228075,EY934,129,GLENVALE BLVD,BEAUFIELD AVE,SUTHERLAND DR,,0,10,,15,Acer platanoides,"Maple, Norway",74,"{""type"": ""Point"", ""coordinates"": [-79.3696264686867, 43.7177916677476]}"
228082,228110,EY17899,65,DUNKIRK RD,GLEBEMOUNT AVE,WOODMOUNT AVE,,0,10,,19,Acer platanoides,"Maple, Norway",50,"{""type"": ""Point"", ""coordinates"": [-79.3192945911195, 43.6925738926806]}"
228102,228130,EY19547,125,LINSMORE CRES,SPRINGDALE BLVD,QUEENSDALE AVE,,0,10,,14,Quercus rubra,"Oak, red",73,"{""type"": ""Point"", ""coordinates"": [-79.331632844363, 43.6865716380046]}"
228106,228134,EY13994,238,SAMMON AVE,MARLOW AVE,WILEY AVE,,0,10,,14,Juniperus,Juniper,0,"{""type"": ""Point"", ""coordinates"": [-79.3384349691556, 43.6862821882518]}"
228202,228230,EY25981,395,SUTHERLAND DR,VANDERHOOF AVE,PARKLEA DR,,0,20,,15,Malus,Apple,80,"{""type"": ""Point"", ""coordinates"": [-79.3665541881942, 43.7121052049565]}"
228242,228270,EY25480,305,LAIRD DR,DIVADALE DR,BROADWAY AVE,,0,10,,15,Picea,Spruce,37,"{""type"": ""Point"", ""coordinates"": [-79.3652726413492, 43.7155196167344]}"
228333,228361,EY6447,246,BESSBOROUGH DR,SHARRON DR,PARKHURST BLVD,,0,10,,15,Acer platanoides,"Maple, Norway",38,"{""type"": ""Point"", ""coordinates"": [-79.3709016665626, 43.7088541340955]}"
228409,228437,EY8965,14,REDNOR RD,COSBURN AVE,PLAINS RD,,0,10,,19,Morus,Mulberry,18,"{""type"": ""Point"", ""coordinates"": [-79.3192649619568, 43.6969955310263]}"
228523,228551,EY11617,121,FERRIS RD,NOTLEY PL,REXLEIGH DR,,0,10,,19,Picea pungens,"Spruce, Colorado blue",58,"{""type"": ""Point"", ""coordinates"": [-79.3049310228371, 43.702525866663]}"
228633,228661,EY16416,248,DONLANDS AVE,FLOYD AVE,MEMORIAL PARK AVE,,0,20,,14,Thuja occidentalis,"Cedar, white",0,"{""type"": ""Point"", ""coordinates"": [-79.3411762390163, 43.6890890079399]}"
228702,228730,EY3056,294,BESSBOROUGH DR,CRAIG CRES,BROADWAY AVE,,0,30,,15,Quercus rubra,"Oak, red",33,"{""type"": ""Point"", ""coordinates"": [-79.3758971139261, 43.7127290945935]}"
228751,228779,EY15019,76,ALDWYCH AVE,WOODYCREST AVE,LN N DANFORTH W LANGFORD,,0,30,,14,Thuja occidentalis,"Cedar, white",30,"{""type"": ""Point"", ""coordinates"": [-79.3434273818983, 43.684421895947]}"
229089,229117,EY14234,244,GAMBLE AVE,TODMORDEN LANE,DONLANDS AVE,,0,10,,14,Acer platanoides,"Maple, Norway",38,"{""type"": ""Point"", ""coordinates"": [-79.3434976391582, 43.6915339015047]}"
229352,229380,EY11017,15,PARKVIEW HILL CRES,WOODBINE HEIGHTS BLVD,WHITE PINE AVE,,0,10,,19,Malus,Apple,61,"{""type"": ""Point"", ""coordinates"": [-79.3220842563173, 43.7043807242844]}"
229641,229669,EY17050,11,FERNWOOD GDNS,,BROADVIEW AVE,,0,50,,14,Thuja occidentalis,"Cedar, white",22,"{""type"": ""Point"", ""coordinates"": [-79.3568857205992, 43.6916645847374]}"
